name,position,age,nation,club,value,confederation,league
Jack Rudoni,Central Midfield,24,England,Coventry City,€12.00m,,
Tommaso Baldanzi,Attacking Midfield,22,Italy,AS Roma,€12.00m,,
Giovanni Fabbian,Attacking Midfield,22,Italy,Bologna FC 1909,€12.00m,,
Merlin Rohl,Attacking Midfield,23,Germany,SC Freiburg,€12.00m,,
Mario Stroeykens,Attacking Midfield,20,Belgium,RSC Anderlecht,€12.00m,,
Arne Engels,Central Midfield,21,Belgium,Celtic FC,€12.00m,,
Nicola Zalewski,Left Midfield,23,Poland,Inter Milan,€12.00m,,
Hayden Hackney,Defensive Midfield,23,England,Middlesbrough FC,€12.00m,,
Jens Cajuste,Defensive Midfield,25,Sweden,SSC Napoli,€12.00m,,
Daniel Braganca,Central Midfield,26,Portugal,Sporting CP,€12.00m,,
Ryan Yates,Central Midfield,27,England,Nottingham Forest,€12.00m,,
Nicolo Zaniolo,Attacking Midfield,26,Italy,Galatasaray,€12.00m,,
Alexis Claude-Maurice,Attacking Midfield,27,France,FC Augsburg,€12.00m,,
Jakub Moder,Central Midfield,26,Poland,Feyenoord Rotterdam,€12.00m,,
Guus Til,Attacking Midfield,27,Netherlands,PSV Eindhoven,€12.00m,,
Kalvin Phillips,Defensive Midfield,29,England,Manchester City,€12.00m,,
Jens Odgaard,Attacking Midfield,26,Denmark,Bologna FC 1909,€12.00m,,
Boubakary Soumare,Defensive Midfield,26,France,Leicester City,€12.00m,,
Mattias Svanberg,Central Midfield,26,Sweden,VfL Wolfsburg,€12.00m,,
Christoph Baumgartner,Attacking Midfield,25,Austria,RB Leipzig,€12.00m,,
Rolando Mandragora,Defensive Midfield,28,Italy,ACF Fiorentina,€12.00m,,
Atakan Karazor,Defensive Midfield,28,Türkiye,VfB Stuttgart,€12.00m,,
Corentin Tolisso,Central Midfield,30,France,Olympique Lyon,€12.00m,,
Granit Xhaka,Defensive Midfield,32,Switzerland,Bayer 04 Leverkusen,€12.00m,,
Aleksandar Stankovic,Defensive Midfield,19,Serbia,Club Brugge KV,€11.00m,,
Ismail Yuksek,Defensive Midfield,26,Türkiye,Fenerbahce,€11.00m,,
Christos Zafeiris,Central Midfield,22,Greece,SK Slavia Prague,€11.00m,,
Albert Gronbaek,Attacking Midfield,24,Denmark,Genoa CFC,€11.00m,,
Yacine Adli,Defensive Midfield,24,France,AC Milan,€11.00m,,
Mykola Shaparenko,Central Midfield,26,Ukraine,Dynamo Kyiv,€11.00m,,
Bryan Heynen,Central Midfield,28,Belgium,KRC Genk,€11.00m,,
Christian Norgaard,Defensive Midfield,31,Denmark,Arsenal FC,€11.00m,,
Mathis Amougou,Central Midfield,19,France,RC Strasbourg Alsace,€10.00m,,
Valentin Atangana,Central Midfield,19,France,Stade Reims,€10.00m,,
Tom Rothe,Left Midfield,20,Germany,1.FC Union Berlin,€10.00m,,
Shea Charles,Defensive Midfield,21,Northern Ireland,Southampton FC,€10.00m,,
Manu Silva,Defensive Midfield,24,Portugal,SL Benfica,€10.00m,,
Jacopo Fazzini,Central Midfield,22,Italy,ACF Fiorentina,€10.00m,,
Leon Avdullahu,Defensive Midfield,21,Switzerland,TSG 1899 Hoffenheim,€10.00m,,
Felix Lemarechal,Attacking Midfield,21,France,RC Strasbourg Alsace,€10.00m,,
Warren Bondo,Central Midfield,21,France,AC Milan,€10.00m,,
Aaron Ramsey,Attacking Midfield,22,England,Burnley FC,€10.00m,,
Benat Turrientes,Central Midfield,23,Spain,Real Sociedad,€10.00m,,
Tom Fellows,Right Midfield,22,England,West Bromwich Albion,€10.00m,,
Maurits Kjaergaard,Central Midfield,22,Denmark,Red Bull Salzburg,€10.00m,,
Daniel Maldini,Attacking Midfield,23,Italy,Atalanta BC,€10.00m,,
Artem Bondarenko,Attacking Midfield,24,Ukraine,Shakhtar Donetsk,€10.00m,,
Pavel Sulc,Attacking Midfield,24,Czech Republic,FC Viktoria Plzen,€10.00m,,
Lucas Da Cunha,Central Midfield,24,France,Como 1907,€10.00m,,
Antonio Blanco,Defensive Midfield,25,Spain,Deportivo Alavés,€10.00m,,
Mads Bidstrup,Central Midfield,24,Denmark,Red Bull Salzburg,€10.00m,,
Patrick Osterhage,Defensive Midfield,25,Germany,SC Freiburg,€10.00m,,
Tommy Doyle,Central Midfield,23,England,Birmingham City,€10.00m,,
Toni Fruk,Attacking Midfield,24,Croatia,HNK Rijeka,€10.00m,,
Nicolas Raskin,Central Midfield,24,Belgium,Rangers FC,€10.00m,,
Oliver Skipp,Defensive Midfield,24,England,Leicester City,€10.00m,,
Batista Mendy,Defensive Midfield,25,France,Trabzonspor,€10.00m,,
Salvatore Esposito,Defensive Midfield,24,Italy,Spezia Calcio,€10.00m,,
Andre Almeida,Attacking Midfield,25,Portugal,Valencia CF,€10.00m,,
Peer Koopmeiners,Defensive Midfield,25,Netherlands,AZ Alkmaar,€10.00m,,
Philip Billing,Central Midfield,29,Denmark,AFC Bournemouth,€10.00m,,
Dani Ceballos,Central Midfield,28,Spain,Real Madrid,€10.00m,,
Sammie Szmodics,Attacking Midfield,29,Ireland,Ipswich Town,€10.00m,,
Xaver Schlager,Central Midfield,27,Austria,RB Leipzig,€10.00m,,
Mario Pasalic,Central Midfield,30,Croatia,Atalanta BC,€10.00m,,
Ruben Loftus-Cheek,Central Midfield,29,England,AC Milan,€10.00m,,
Maximilian Eggestein,Central Midfield,28,Germany,SC Freiburg,€10.00m,,
Ryan Christie,Defensive Midfield,30,Scotland,AFC Bournemouth,€10.00m,,
Piotr Zielinski,Central Midfield,31,Poland,Inter Milan,€10.00m,,
Marcelo Brozovic,Defensive Midfield,32,Croatia,Al-Nassr FC,€10.00m,,
Marco Verratti,Central Midfield,32,Italy,Al-Duhail SC,€10.00m,,
Andrea Colpani,Attacking Midfield,26,Italy,AC Monza,€9.50m,,
Stefan Bajcetic,Defensive Midfield,20,Spain,Liverpool FC,€9.00m,,
Mathias Delorge,Central Midfield,20,Belgium,KAA Gent,€9.00m,,
Tim Iroegbunam,Central Midfield,22,England,Everton FC,€9.00m,,
Sven Mijnans,Attacking Midfield,25,Netherlands,AZ Alkmaar,€9.00m,,
Kristian Thorstvedt,Attacking Midfield,26,Norway,US Sassuolo,€9.00m,,
Arsen Zakharyan,Attacking Midfield,22,Russia,Real Sociedad,€9.00m,,
Ivan Oblyakov,Attacking Midfield,27,Russia,CSKA Moscow,€9.00m,,
Tommaso Pobega,Central Midfield,26,Italy,Bologna FC 1909,€9.00m,,
Senne Lynen,Defensive Midfield,26,Belgium,SV Werder Bremen,€9.00m,,
Valentin Rongier,Central Midfield,30,France,Stade Rennais FC,€9.00m,,
Pepelu,Defensive Midfield,26,Spain,Valencia CF,€9.00m,,
Mahdi Camara,Central Midfield,27,France,Stade Brestois 29,€9.00m,,
Lorenzo Pellegrini,Attacking Midfield,29,Italy,AS Roma,€9.00m,,
Alvaro Fidalgo,Central Midfield,28,Spain,CF América,€9.00m,,
Aleksey Miranchuk,Attacking Midfield,29,Russia,Atlanta United FC,€9.00m,,
Harry Winks,Defensive Midfield,29,England,Leicester City,€9.00m,,
Robert Andrich,Defensive Midfield,30,Germany,Bayer 04 Leverkusen,€9.00m,,
Hans Nicolussi Caviglia,Central Midfield,25,Italy,Venezia FC,€8.50m,,
Sandi Lovric,Central Midfield,27,Slovenia,Udinese Calcio,€8.50m,,
Jorthy Mokio,Defensive Midfield,17,Belgium,Ajax Amsterdam,€8.00m,,
Djaoui Cisse,Central Midfield,21,France,Stade Rennais FC,€8.00m,,
Johan Manzambi,Central Midfield,19,Switzerland,SC Freiburg,€8.00m,,
Lennon Miller,Central Midfield,18,Scotland,Motherwell FC,€8.00m,,
Pablo Marin,Attacking Midfield,22,Spain,Real Sociedad,€8.00m,,
Arthur Atta,Central Midfield,22,France,Udinese Calcio,€8.00m,,
Kevin Danois,Central Midfield,21,France,AJ Auxerre,€8.00m,,
Jordan James,Central Midfield,21,Wales,Stade Rennais FC,€8.00m,,
Matvey Kislyak,Central Midfield,20,Russia,CSKA Moscow,€8.00m,,
Lucas Gourna-Douath,Defensive Midfield,21,France,Red Bull Salzburg,€8.00m,,
Danil Glebov,Defensive Midfield,25,Russia,Dynamo Moscow,€8.00m,,
Lucien Agoume,Defensive Midfield,23,France,Sevilla FC,€8.00m,,
Sergio Arribas,Attacking Midfield,23,Spain,UD Almería,€8.00m,,
Marco Brescianini,Central Midfield,25,Italy,Atalanta BC,€8.00m,,
Aleksandr Chernikov,Defensive Midfield,25,Russia,FC Krasnodar,€8.00m,,
Fran Beltran,Central Midfield,26,Spain,Celta de Vigo,€8.00m,,
Daniil Fomin,Defensive Midfield,28,Russia,Dynamo Moscow,€8.00m,,
Albert Sambi Lokonga,Central Midfield,25,Belgium,Arsenal FC,€8.00m,,
Santi Comesana,Central Midfield,28,Spain,Villarreal CF,€8.00m,,
Michal Sadilek,Central Midfield,26,Czech Republic,SK Slavia Prague,€8.00m,,
Timi Max Elsnik,Central Midfield,27,Slovenia,Red Star Belgrade,€8.00m,,
Azor Matusiwa,Defensive Midfield,27,Netherlands,Ipswich Town,€8.00m,,
Nikola Vlasic,Attacking Midfield,27,Croatia,Torino FC,€8.00m,,
Dmitriy Barinov,Defensive Midfield,28,Russia,Lokomotiv Moscow,€8.00m,,
James Ward-Prowse,Central Midfield,30,England,West Ham United,€8.00m,,
Marcel Sabitzer,Central Midfield,31,Austria,Borussia Dortmund,€8.00m,,
Koke,Central Midfield,33,Spain,Atlético de Madrid,€8.00m,,
Oscar Hojlund,Central Midfield,20,Denmark,Eintracht Frankfurt,€7.50m,,
Sydie Peck,Central Midfield,20,England,Sheffield United,€7.50m,,
Dan Neil,Central Midfield,23,England,Sunderland AFC,€7.50m,,
Daniel Boloca,Defensive Midfield,26,Italy,US Sassuolo,€7.50m,,
Mateusz Bogusz,Attacking Midfield,23,Poland,CD Cruz Azul,€7.50m,,
Darius Olaru,Attacking Midfield,27,Romania,FCSB,€7.50m,,
Michel Aebischer,Central Midfield,28,Switzerland,Bologna FC 1909,€7.50m,,
Djibril Sow,Central Midfield,28,Switzerland,Sevilla FC,€7.50m,,
Assan Ouedraogo,Central Midfield,19,Germany,RB Leipzig,€7.00m,,
Muhammed Damar,Attacking Midfield,21,Germany,TSG 1899 Hoffenheim,€7.00m,,
Caspar Jander,Central Midfield,22,Germany,1.FC Nuremberg,€7.00m,,
Aljoscha Kemlein,Defensive Midfield,20,Germany,1.FC Union Berlin,€7.00m,,
Maxim De Cuyper,Left-Back,24,Belgium,Brighton & Hove Albion,€16.00m,,
Mykola Matvienko,Centre-Back,29,Ukraine,Shakhtar Donetsk,€16.00m,,
Javi Rodriguez,Centre-Back,22,Spain,Celta de Vigo,€15.00m,,
Joane Gadou,Centre-Back,18,France,Red Bull Salzburg,€15.00m,,
Christian Mawissa,Centre-Back,20,France,AS Monaco,€15.00m,,
Nathan Zeze,Centre-Back,20,France,FC Nantes,€15.00m,,
Jeanuel Belocian,Centre-Back,20,France,Bayer 04 Leverkusen,€15.00m,,
Callum Doyle,Centre-Back,21,England,Manchester City U21,€15.00m,,
Tiago Santos,Right-Back,23,Portugal,LOSC Lille,€15.00m,,
Alex Jimenez,Right-Back,20,Spain,AC Milan,€15.00m,,
Adrien Truffert,Left-Back,23,France,AFC Bournemouth,€15.00m,,
Victor Kristiansen,Left-Back,22,Denmark,Leicester City,€15.00m,,
Quentin Merlin,Left-Back,23,France,Stade Rennais FC,€15.00m,,
Melvin Bard,Left-Back,24,France,OGC Nice,€15.00m,,
Francisco Moura,Left-Back,25,Portugal,FC Porto,€15.00m,,
Nathan Patterson,Right-Back,23,Scotland,Everton FC,€15.00m,,
Ryan Sessegnon,Left-Back,25,England,Fulham FC,€15.00m,,
Juan Miranda,Left-Back,25,Spain,Bologna FC 1909,€15.00m,,
Kyle Walker-Peters,Right-Back,28,England,West Ham United,€15.00m,,
Rico Henry,Left-Back,28,England,Brentford FC,€15.00m,,
Ben Chilwell,Left-Back,28,England,Chelsea FC,€15.00m,,
Wout Faes,Centre-Back,27,Belgium,Leicester City,€15.00m,,
Gianluca Mancini,Centre-Back,29,Italy,AS Roma,€15.00m,,
Milan Skriniar,Centre-Back,30,Slovakia,Paris Saint-Germain,€15.00m,,
Benjamin Henrichs,Right-Back,28,Germany,RB Leipzig,€15.00m,,
Joao Cancelo,Right-Back,31,Portugal,Al-Hilal SFC,€15.00m,,
Aymeric Laporte,Centre-Back,31,Spain,Al-Nassr FC,€15.00m,,
Quilindschy Hartman,Left-Back,23,Netherlands,Burnley FC,€14.00m,,
Dara O'Shea,Centre-Back,26,Ireland,Ipswich Town,€14.00m,,
Rasmus Kristensen,Right-Back,28,Denmark,Eintracht Frankfurt,€14.00m,,
Joakim Maehle,Left-Back,28,Denmark,VfL Wolfsburg,€14.00m,,
Matteo Gabbia,Centre-Back,25,Italy,AC Milan,€14.00m,,
Ferland Mendy,Left-Back,30,France,Real Madrid,€14.00m,,
Issa Diop,Centre-Back,28,France,Fulham FC,€14.00m,,
Matte Smets,Centre-Back,21,Belgium,KRC Genk,€13.00m,,
Leopold Querfeld,Centre-Back,21,Austria,1.FC Union Berlin,€13.00m,,
Jayden Oosterwolde,Left-Back,24,Netherlands,Fenerbahce,€13.00m,,
Mattia Zanotti,Right-Back,22,Italy,FC Lugano,€13.00m,,
James Justin,Right-Back,27,England,Leicester City,€13.00m,,
Danilho Doekhi,Centre-Back,27,Netherlands,1.FC Union Berlin,€13.00m,,
Merih Demiral,Centre-Back,27,Türkiye,Al-Ahli SFC,€13.00m,,
Timothy Castagne,Right-Back,29,Belgium,Fulham FC,€13.00m,,
Kenny Tete,Right-Back,29,Netherlands,Fulham FC,€13.00m,,
Harry Maguire,Centre-Back,32,England,Manchester United,€13.00m,,
Yusuf Akcicek,Centre-Back,19,Türkiye,Fenerbahce,€12.00m,,
Martim Fernandes,Right-Back,19,Portugal,FC Porto,€12.00m,,
Luka Vuskovic,Centre-Back,18,Croatia,Tottenham Hotspur,€12.00m,,
Jose Angel Carmona,Right-Back,23,Spain,Sevilla FC,€12.00m,,
Nicolo Savona,Right-Back,22,Italy,Juventus FC,€12.00m,,
Gerard Martin,Left-Back,23,Spain,FC Barcelona,€12.00m,,
Juanlu Sanchez,Right-Back,21,Spain,Sevilla FC,€12.00m,,
Youssouf Ndayishimiye,Centre-Back,26,Burundi,OGC Nice,€12.00m,,
Albian Hajdari,Centre-Back,22,Switzerland,FC Lugano,€12.00m,,
Daniel Svensson,Left-Back,23,Sweden,Borussia Dortmund,€12.00m,,
Mohammed Salisu,Centre-Back,26,Ghana,AS Monaco,€12.00m,,
Youri Baas,Centre-Back,22,Netherlands,Ajax Amsterdam,€12.00m,,
Harrison Burrows,Left-Back,23,England,Sheffield United,€12.00m,,
Andrei Ratiu,Right-Back,27,Romania,Rayo Vallecano,€12.00m,,
Amar Dedic,Right-Back,22,Bosnia-Herzegovina,SL Benfica,€12.00m,,
Trai Hume,Right-Back,23,Northern Ireland,Sunderland AFC,€12.00m,,
Jesus Areso,Right-Back,26,Spain,Athletic Bilbao,€12.00m,,
Anthony Caci,Right-Back,28,France,1.FSV Mainz 05,€12.00m,,
Igor Zubeldia,Centre-Back,28,Spain,Real Sociedad,€12.00m,,
Luca Ranieri,Centre-Back,26,Italy,ACF Fiorentina,€12.00m,,
Ladislav Krejci,Centre-Back,26,Czech Republic,Girona FC,€12.00m,,
Jeff Chabot,Centre-Back,27,Germany,VfB Stuttgart,€12.00m,,
Ainsley Maitland-Niles,Right-Back,27,England,Olympique Lyon,€12.00m,,
Amir Rrahmani,Centre-Back,31,Kosovo,SSC Napoli,€12.00m,,
Philipp Lienhart,Centre-Back,29,Austria,SC Freiburg,€12.00m,,
Andreas Christensen,Centre-Back,29,Denmark,FC Barcelona,€12.00m,,
Luke Shaw,Left-Back,30,England,Manchester United,€12.00m,,
Giovanni Di Lorenzo,Right-Back,31,Italy,SSC Napoli,€12.00m,,
Marco Friedl,Centre-Back,27,Austria,SV Werder Bremen,€12.00m,,
Martin Vitik,Centre-Back,22,Czech Republic,Bologna FC 1909,€11.00m,,
Adam Webster,Centre-Back,30,England,Brighton & Hove Albion,€11.00m,,
Jeremy Jacquet,Centre-Back,20,France,Stade Rennais FC,€10.00m,,
Hector Fort,Right-Back,18,Spain,FC Barcelona,€10.00m,,
Alberto Costa,Right-Back,21,Portugal,FC Porto,€10.00m,,
Kosta Nedeljkovic,Right-Back,19,Serbia,RB Leipzig,€10.00m,,
Arnau Martinez,Right-Back,22,Spain,Girona FC,€10.00m,,
Zeno Van Den Bosch,Centre-Back,22,Belgium,Royal Antwerp FC,€10.00m,,
Cesar Tarrega,Centre-Back,23,Spain,Valencia CF,€10.00m,,
Anthony Rouault,Centre-Back,24,France,Stade Rennais FC,€10.00m,,
Nnamdi Collins,Centre-Back,21,Germany,Eintracht Frankfurt,€10.00m,,
Sergi Cardona,Left-Back,26,Spain,Villarreal CF,€10.00m,,
Diego Coppola,Centre-Back,21,Italy,Brighton & Hove Albion,€10.00m,,
Wouter Goes,Centre-Back,21,Netherlands,AZ Alkmaar,€10.00m,,
Mika Marmol,Centre-Back,24,Spain,UD Las Palmas,€10.00m,,
Charlie Cresswell,Centre-Back,22,England,FC Toulouse,€10.00m,,
Aaron Hickey,Right-Back,23,Scotland,Brentford FC,€10.00m,,
Milan van Ewijk,Right-Back,24,Netherlands,Coventry City,€10.00m,,
Devyne Rensch,Right-Back,22,Netherlands,AS Roma,€10.00m,,
Kiliann Sildillia,Right-Back,23,France,PSV Eindhoven,€10.00m,,
Joao Mario,Right-Back,25,Portugal,Juventus FC,€10.00m,,
Lilian Brassier,Centre-Back,25,France,Stade Rennais FC,€10.00m,,
Caleb Okoli,Centre-Back,24,Italy,Leicester City,€10.00m,,
Alexander Bah,Right-Back,27,Denmark,SL Benfica,€10.00m,,
Josha Vagnoman,Right-Back,24,Germany,VfB Stuttgart,€10.00m,,
Victor Nelsson,Centre-Back,26,Denmark,Galatasaray,€10.00m,,
Leo Ostigard,Centre-Back,25,Norway,Stade Rennais FC,€10.00m,,
Nordi Mukiele,Right-Back,27,France,Paris Saint-Germain,€10.00m,,
Joe Rodon,Centre-Back,27,Wales,Leeds United,€10.00m,,
Marin Pongracic,Centre-Back,27,Croatia,ACF Fiorentina,€10.00m,,
Emerson,Left-Back,30,Italy,West Ham United,€10.00m,,
Kurt Zouma,Centre-Back,30,France,Without Club,€10.00m,,
Lucas Digne,Left-Back,32,France,Aston Villa,€10.00m,,
Bradley Locko,Left-Back,23,France,Stade Brestois 29,€9.00m,,
Lorenz Assignon,Right-Back,25,France,VfB Stuttgart,€9.00m,,
David Moller Wolfe,Left-Back,23,Norway,AZ Alkmaar,€9.00m,,
Strahinja Erakovic,Centre-Back,24,Serbia,Zenit St. Petersburg,€9.00m,,
Ben Cabango,Centre-Back,25,Wales,Swansea City,€9.00m,,
Alexandre Penetra,Centre-Back,23,Portugal,AZ Alkmaar,€9.00m,,
Armel Bella-Kotchap,Centre-Back,23,Germany,Southampton FC,€9.00m,,
Jayden Bogle,Right-Back,25,England,Leeds United,€9.00m,,
Jordan Teze,Right-Back,25,Netherlands,AS Monaco,€9.00m,,
Ridle Baku,Right-Back,27,Germany,RB Leipzig,€9.00m,,
Kieran Tierney,Left-Back,28,Scotland,Celtic FC,€9.00m,,
Nuno Santos,Left-Back,30,Portugal,Sporting CP,€9.00m,,
Jan Bednarek,Centre-Back,29,Poland,Southampton FC,€9.00m,,
Nelson Semedo,Right-Back,31,Portugal,Without Club,€9.00m,,
Jose Gaya,Left-Back,30,Spain,Valencia CF,€9.00m,,
James Tarkowski,Centre-Back,32,England,Everton FC,€9.00m,,
Niccolo Fortini,Left-Back,19,Italy,ACF Fiorentina,€8.50m,,
Jon Martin,Centre-Back,19,Spain,Real Sociedad,€8.00m,,
Josh Acheampong,Right-Back,19,England,Chelsea FC,€8.00m,,
Joaquin Seys,Left-Back,20,Belgium,Club Brugge KV,€8.00m,,
Ivan Fresneda,Right-Back,20,Spain,Sporting CP,€8.00m,,
Oliver Scarles,Left-Back,19,England,West Ham United,€8.00m,,
Saba Goglichidze,Centre-Back,21,Georgia,FC Empoli,€8.00m,,
Jan-Carlo Simic,Centre-Back,20,Serbia,RSC Anderlecht,€8.00m,,
Alfie Gilchrist,Right-Back,21,England,Chelsea FC,€8.00m,,
Lukas Ullrich,Left-Back,21,Germany,Borussia Mönchengladbach,€8.00m,,
Kike Salas,Centre-Back,23,Spain,Sevilla FC,€8.00m,,
Elias Baum,Right-Back,19,Germany,Eintracht Frankfurt,€8.00m,,
Hugo Bueno,Left-Back,22,Spain,Wolverhampton Wanderers,€8.00m,,
Lucas Piton,Left-Back,24,Italy,Clube de Regatas Vasco da Gama,€8.00m,,
Soumaila Coulibaly,Centre-Back,21,France,RC Strasbourg Alsace,€8.00m,,
Samson Baidoo,Centre-Back,21,Austria,RC Lens,€8.00m,,
Andrew Omobamidele,Centre-Back,23,Ireland,RC Strasbourg Alsace,€8.00m,,
Max Rosenfelder,Centre-Back,22,Germany,SC Freiburg,€8.00m,,
Thomas Beelen,Centre-Back,24,Netherlands,Feyenoord Rotterdam,€8.00m,,
Eiran Cashin,Centre-Back,23,Ireland,Birmingham City,€8.00m,,
Dennis Cirkin,Left-Back,23,England,Sunderland AFC,€8.00m,,
Georgios Vagiannidis,Right-Back,23,Greece,Panathinaikos FC,€8.00m,,
Igor Diveev,Centre-Back,25,Russia,CSKA Moscow,€8.00m,,
Daniel Ballard,Centre-Back,25,Northern Ireland,Sunderland AFC,€8.00m,,
Mujaid Sadick,Centre-Back,25,Spain,KRC Genk,€8.00m,,
Emil Holm,Right-Back,25,Sweden,Bologna FC 1909,€8.00m,,
Anass Salah-Eddine,Left-Back,23,Netherlands,AS Roma,€8.00m,,
Ben Johnson,Right-Back,25,England,Ipswich Town,€8.00m,,
Tiago Djalo,Centre-Back,25,Portugal,Juventus FC,€8.00m,,
Alberto Dossena,Centre-Back,26,Italy,Como 1907,€8.00m,,
Tyrell Malacia,Left-Back,25,Netherlands,Manchester United,€8.00m,,
Robin Gosens,Left-Back,31,Germany,ACF Fiorentina,€8.00m,,
Maximilian Wober,Centre-Back,27,Austria,SV Werder Bremen,€8.00m,,
Stefan Posch,Centre-Back,28,Austria,Bologna FC 1909,€8.00m,,
Lukas Klostermann,Centre-Back,29,Germany,RB Leipzig,€8.00m,,
Nico Elvedi,Centre-Back,28,Switzerland,Borussia Mönchengladbach,€8.00m,,
Victor Lindelof,Centre-Back,31,Sweden,Without Club,€8.00m,,
Eric Dier,Centre-Back,31,England,AS Monaco,€8.00m,,
Raphael Guerreiro,Left-Back,31,Portugal,Bayern Munich,€8.00m,,
Niklas Sule,Centre-Back,29,Germany,Borussia Dortmund,€8.00m,,
Daniel Carvajal,Right-Back,33,Spain,Real Madrid,€8.00m,,
Willi Orban,Centre-Back,32,Hungary,RB Leipzig,€8.00m,,
Yasin Ozcan,Centre-Back,19,Türkiye,Aston Villa,€7.50m,,
Yarek Gasiorowski,Centre-Back,20,Spain,PSV Eindhoven,€7.50m,,
Luca Marianucci,Centre-Back,21,Italy,SSC Napoli,€7.50m,,
Aurele Amenda,Centre-Back,21,Switzerland,Eintracht Frankfurt,€7.50m,,
Ameen Al-Dakhil,Centre-Back,23,Belgium,VfB Stuttgart,€7.50m,,
Javi Lopez,Left-Back,23,Spain,Real Sociedad,€7.50m,,
Marash Kumbulla,Centre-Back,25,Albania,AS Roma,€7.50m,,
Clement Lenglet,Centre-Back,30,France,Atlético de Madrid,€7.50m,,
Andres Garcia,Right-Back,22,Spain,Aston Villa,€7.00m,,
Sael Kumbedi,Right-Back,20,France,Olympique Lyon,€7.00m,,
Kassoum Ouattara,Left-Back,20,France,AS Monaco,€7.00m,,
Martim Marques,Left-Back,21,Portugal,FC Lugano,€7.00m,,
Fredrik Sjovold,Right-Back,21,Norway,FK Bodø/Glimt,€7.00m,,
Isaak Toure,Centre-Back,22,France,FC Lorient,€7.00m,,
Anton Gaaei,Right-Back,22,Denmark,Ajax Amsterdam,€7.00m,,
Tarik Muharemovic,Centre-Back,22,Bosnia-Herzegovina,US Sassuolo,€7.00m,,
Rafa Marin,Centre-Back,23,Spain,Villarreal CF,€7.00m,,
Elias Jelert,Right-Back,22,Denmark,Galatasaray,€7.00m,,
Etienne Youte Kinkoue,Centre-Back,23,France,Le Havre AC,€7.00m,,
Bashir Humphreys,Left-Back,22,England,Burnley FC,€7.00m,,
Samuel Dahl,Left-Back,22,Sweden,SL Benfica,€7.00m,,
Archie Brown,Left-Back,23,England,Fenerbahce,€7.00m,,
Valentin Gendrey,Right-Back,25,France,TSG 1899 Hoffenheim,€7.00m,,
Mark McGuinness,Centre-Back,24,Ireland,Luton Town,€7.00m,,
Adria Pedrosa,Left-Back,27,Spain,Sevilla FC,€7.00m,,
Cedric Zesiger,Centre-Back,27,Switzerland,FC Augsburg,€7.00m,,
Gijs Smal,Left-Back,27,Netherlands,Feyenoord Rotterdam,€7.00m,,
Gabriel Gudmundsson,Left-Back,26,Sweden,Leeds United,€7.00m,,
Mitchel Bakker,Left-Back,25,Netherlands,Atalanta BC,€7.00m,,
Simone Canestrelli,Centre-Back,24,Italy,Pisa Sporting Club,€7.00m,,
Sergio Akieme,Left-Back,27,Spain,Stade Reims,€7.00m,,
Caglar Soyuncu,Centre-Back,29,Türkiye,Fenerbahce,€7.00m,,
David Garcia,Centre-Back,31,Spain,Al-Rayyan SC,€7.00m,,
Mario Hermoso,Centre-Back,30,Spain,AS Roma,€7.00m,,
Aaron Ramsdale,Goalkeeper,27,England,Southampton FC,€16.00m,,
Vanja Milinkovic-Savic,Goalkeeper,28,Serbia,SSC Napoli,€16.00m,,
Antonin Kinsky,Goalkeeper,22,Czech Republic,Tottenham Hotspur,€15.00m,,
Julen Agirrezabala,Goalkeeper,24,Spain,Valencia CF,€15.00m,,
Mads Hermansen,Goalkeeper,25,Denmark,Leicester City,€15.00m,,
Anthony Patterson,Goalkeeper,25,England,Sunderland AFC,€14.00m,,
Kamil Grabara,Goalkeeper,26,Poland,VfL Wolfsburg,€14.00m,,
Mike Penders,Goalkeeper,19,Belgium,Chelsea FC,€12.00m,,
Jonas Urbig,Goalkeeper,21,Germany,Bayern Munich,€12.00m,,
Josep Martinez,Goalkeeper,27,Spain,Inter Milan,€12.00m,,
Alexander Nubel,Goalkeeper,28,Germany,VfB Stuttgart,€12.00m,,
Brice Samba,Goalkeeper,31,France,Stade Rennais FC,€12.00m,,
Marc-Andre ter Stegen,Goalkeeper,33,Germany,FC Barcelona,€12.00m,,
Konstantinos Tzolakis,Goalkeeper,22,Greece,Olympiacos Piraeus,€10.00m,,
Christos Mandas,Goalkeeper,23,Greece,SS Lazio,€10.00m,,
Kepa Arrizabalaga,Goalkeeper,30,Spain,Arsenal FC,€10.00m,,
Mark Flekken,Goalkeeper,32,Netherlands,Bayer 04 Leverkusen,€10.00m,,
