name,position,age,nation,club,value,league
Murilo de Souza,Right Winger,30,Brazil,Kyoto Sanga,€850k,J1 League
Shintaro Nago,Attacking Midfield,29,Japan,Avispa Fukuoka,€800k,J1 League
Shuto Abe,Central Midfield,27,Japan,Gamba Osaka,€800k,J1 League
Sang-ho Na,Left Winger,28,"Korea, South",Machida Zelvia,€800k,J1 League
Mutsuki Kato,Centre-Forward,27,Japan,Sanfrecce Hiroshima,€800k,J1 League
Sandy Walsh,Right-Back,30,Indonesia,Yokohama F. Marinos,€800k,J1 League
Takuya Kida,Defensive Midfield,30,Japan,Yokohama F. Marinos,€800k,J1 League
Rei Hirakawa,Attacking Midfield,25,Japan,Tokyo Verdy,€800k,J1 League
Tojiro Kubo,Right Midfield,26,Japan,Kashiwa Reysol,€800k,J1 League
Tokuma Suzuki,Defensive Midfield,28,Japan,Gamba Osaka,€800k,J1 League
Jesse Lingard,Attacking Midfield,32,England,FC Seoul,€3.00m,K-League1
Andrea Compagno,Centre-Forward,29,Italy,Jeonbuk Hyundai Motors,€2.80m,K-League1
Seung-hyun Jung,Centre-Back,31,"Korea, South",Ulsan HD FC,€1.60m,K-League1
Erick Farias,Centre-Forward,28,Brazil,Ulsan HD FC,€1.50m,K-League1
Dong-gyeong Lee,Attacking Midfield,27,"Korea, South",Gimcheon Sangmu,€1.40m,K-League1
Oberdan,Defensive Midfield,29,Brazil,Pohang Steelers,€1.20m,K-League1
Jasir Asani,Right Winger,30,Albania,Gwangju FC,€1.20m,K-League1
Seung-wook Park,Centre-Back,28,"Korea, South",Pohang Steelers,€1.00m,K-League1
Darijan Bojanic,Central Midfield,30,Sweden,Ulsan HD FC,€1.00m,K-League1
Marcao,Centre-Forward,31,Brazil,Ulsan HD FC,€1.00m,K-League1
Gustav Ludwigson,Left Winger,31,Sweden,Ulsan HD FC,€1.00m,K-League1
Won-sang Um,Right Winger,26,"Korea, South",Ulsan HD FC,€1.00m,K-League1
Bong-soo Kim,Central Midfield,25,"Korea, South",Daejeon Hana Citizen,€1.00m,K-League1
Marko Dugandzic,Centre-Forward,31,Croatia,FC Seoul,€900k,K-League1
Min-kyu Song,Left Winger,25,"Korea, South",Jeonbuk Hyundai Motors,€900k,K-League1
Ju-sung Kim,Centre-Back,24,"Korea, South",FC Seoul,€850k,K-League1
Jin-gyu Kim,Central Midfield,28,"Korea, South",Jeonbuk Hyundai Motors,€850k,K-League1
Bum-keun Song,Goalkeeper,27,"Korea, South",Jeonbuk Hyundai Motors,€850k,K-League1
Chang-rae Ha,Centre-Back,30,"Korea, South",Daejeon Hana Citizen,€850k,K-League1
Anderson Oliveira,Left Winger,27,Brazil,FC Seoul,€800k,K-League1
Lucas Silva,Right Winger,25,Brazil,FC Seoul,€800k,K-League1
Sang-heon Lee,Attacking Midfield,27,"Korea, South",Gangwon FC,€800k,K-League1
Dae-won Kim,Left Winger,28,"Korea, South",Gangwon FC,€800k,K-League1
Hyeon-woo Jo,Goalkeeper,33,"Korea, South",Ulsan HD FC,€800k,K-League1
Seung-beom Ko,Central Midfield,31,"Korea, South",Ulsan HD FC,€800k,K-League1
Jin-seob Park,Defensive Midfield,29,"Korea, South",Jeonbuk Hyundai Motors,€800k,K-League1
Matheus Oliveira,Attacking Midfield,27,Brazil,FC Anyang,€750k,K-League1
Tae-seok Lee,Left-Back,22,"Korea, South",Pohang Steelers,€750k,K-League1
Sang-woo Kang,Left-Back,31,"Korea, South",Ulsan HD FC,€750k,K-League1
Dong-hyeon Kim,Defensive Midfield,28,"Korea, South",Gangwon FC,€750k,K-League1
Min-kyu Joo,Centre-Forward,35,"Korea, South",Daejeon Hana Citizen,€750k,K-League1
Tiago Orobo,Centre-Forward,31,Brazil,Jeonbuk Hyundai Motors,€750k,K-League1
Moon-hwan Kim,Right-Back,29,"Korea, South",Daejeon Hana Citizen,€750k,K-League1
Yazan Al-Arab,Centre-Back,29,Jordan,FC Seoul,€700k,K-League1
Jun Choi,Right-Back,26,"Korea, South",FC Seoul,€700k,K-League1
Min-woo Seo,Defensive Midfield,27,"Korea, South",Gangwon FC,€700k,K-League1
Pablo Sabbag,Centre-Forward,28,Syria,Suwon FC,€700k,K-League1
Jin-woo Jeon,Right Winger,25,"Korea, South",Jeonbuk Hyundai Motors,€700k,K-League1
Bobsin,Defensive Midfield,25,Brazil,Daejeon Hana Citizen,€700k,K-League1
Byung-kwan Jeon,Left Winger,22,"Korea, South",Gimcheon Sangmu,€650k,K-League1
Jae-hyun Go,Right Winger,26,"Korea, South",Gimcheon Sangmu,€650k,K-League1
Chan-yong Park,Centre-Back,29,"Korea, South",Gimcheon Sangmu,€650k,K-League1
Ho-jae Lee,Centre-Forward,24,"Korea, South",Pohang Steelers,€650k,K-League1
Min-gyu Jang,Centre-Back,26,"Korea, South",Jeju SK,€650k,K-League1
Mario Cuze,Left Winger,26,Croatia,Gangwon FC,€650k,K-League1
Cesinha,Attacking Midfield,35,Brazil,Daegu FC,€650k,K-League1
Matias Lacava,Right Winger,22,Venezuela,Ulsan HD FC,€650k,K-League1
Chang-geun Lee,Goalkeeper,31,"Korea, South",Daejeon Hana Citizen,€650k,K-League1
Yeong-jae Lee,Central Midfield,30,"Korea, South",Jeonbuk Hyundai Motors,€650k,K-League1
Anton Kryvotsiuk,Centre-Back,26,Azerbaijan,Daejeon Hana Citizen,€650k,K-League1
Tae-hyeon Kim,Left-Back,28,"Korea, South",Jeonbuk Hyundai Motors,€650k,K-League1
Seung-won Jeong,Right Winger,28,"Korea, South",FC Seoul,€600k,K-League1
Patryk Klimala,Centre-Forward,26,Poland,FC Seoul,€600k,K-League1
Jae-won Hwang,Right-Back,22,"Korea, South",Daegu FC,€600k,K-League1
Bruno Lamas,Attacking Midfield,31,Brazil,Daegu FC,€600k,K-League1
Reis,Second Striker,32,Brazil,Gwangju FC,€600k,K-League1
Joao Gamboa,Defensive Midfield,28,Portugal,Jeonbuk Hyundai Motors,€600k,K-League1
Bruno Mota,Centre-Forward,29,Brazil,FC Anyang,€550k,K-League1
In-jae Hwang,Goalkeeper,31,"Korea, South",Pohang Steelers,€550k,K-League1
Dong-jun Kim,Goalkeeper,30,"Korea, South",Jeju SK,€550k,K-League1
Young-wook Cho,Centre-Forward,26,"Korea, South",FC Seoul,€550k,K-League1
Jin-hyuk Kim,Centre-Back,32,"Korea, South",Daegu FC,€550k,K-League1
Vitor Gabriel,Centre-Forward,25,Brazil,Gangwon FC,€550k,K-League1
Gi-hyuk Lee,Centre-Back,25,"Korea, South",Gangwon FC,€550k,K-League1
Seung-woo Lee,Attacking Midfield,27,"Korea, South",Jeonbuk Hyundai Motors,€550k,K-League1
Min-duk Kim,Centre-Back,29,"Korea, South",Daejeon Hana Citizen,€550k,K-League1
Kang-hyun Yu,Centre-Forward,29,"Korea, South",Daejeon Hana Citizen,€550k,K-League1
Soon-min Lee,Central Midfield,31,"Korea, South",Daejeon Hana Citizen,€550k,K-League1
Yool Heo,Centre-Forward,24,"Korea, South",Ulsan HD FC,€500k,K-League1
Seung-mo Lee,Central Midfield,27,"Korea, South",FC Seoul,€500k,K-League1
Hyeon-mu Kang,Goalkeeper,30,"Korea, South",FC Seoul,€500k,K-League1
Seon-min Moon,Left Winger,33,"Korea, South",FC Seoul,€500k,K-League1
Kook-young Han,Defensive Midfield,35,"Korea, South",Jeonbuk Hyundai Motors,€500k,K-League1
Bit-garam Yoon,Central Midfield,35,"Korea, South",Suwon FC,€500k,K-League1
Patrick Twumasi,Right Winger,31,Ghana,Jeonbuk Hyundai Motors,€500k,K-League1
Myung-jae Lee,Left-Back,31,"Korea, South",Daejeon Hana Citizen,€500k,K-League1
Hyeon-sik Lee,Attacking Midfield,29,"Korea, South",Gimcheon Sangmu,€500k,K-League1
Tae-hee Nam,Attacking Midfield,34,"Korea, South",Jeju SK,€500k,K-League1
Yun-sang Hong,Left Winger,23,"Korea, South",Pohang Steelers,€500k,K-League1
Chang-min Lee,Central Midfield,31,"Korea, South",Jeju SK,€500k,K-League1
Geovani,Right Winger,24,Brazil,Daegu FC,€500k,K-League1
Jin-yong Lee,Defensive Midfield,24,"Korea, South",Daegu FC,€500k,K-League1
Luan Dias,Attacking Midfield,27,Brazil,Suwon FC,€500k,K-League1
Jae-hyeon Mo,Right Winger,28,"Korea, South",Gangwon FC,€500k,K-League1
Marko Tuci,Centre-Back,26,Montenegro,Gangwon FC,€500k,K-League1
Jong-gyu Yoon,Right-Back,27,"Korea, South",Ulsan HD FC,€500k,K-League1
Hyun-taek Cho,Left-Back,23,"Korea, South",Ulsan HD FC,€500k,K-League1
Hyeon-ug Kim,Right Winger,30,"Korea, South",Daejeon Hana Citizen,€500k,K-League1
Willyan,Left Winger,31,Brazil,Suwon FC,€500k,K-League1
Vladislavs Gutkovskis,Centre-Forward,30,Latvia,Daejeon Hana Citizen,€500k,K-League1
Hyun-beom Ahn,Right-Back,30,"Korea, South",Suwon FC,€500k,K-League1
Jeong-hoon Kim,Goalkeeper,24,"Korea, South",Jeonbuk Hyundai Motors,€450k,K-League1
Kang-san Kim,Centre-Back,26,"Korea, South",Gimcheon Sangmu,€450k,K-League1
Soo-il Park,Right-Back,29,"Korea, South",FC Seoul,€450k,K-League1
Seung-sub Kim,Left Winger,28,"Korea, South",Gimcheon Sangmu,€450k,K-League1
Kyoung-rok Choi,Attacking Midfield,30,"Korea, South",Gwangju FC,€450k,K-League1
Young-bin Kim,Centre-Back,33,"Korea, South",Jeonbuk Hyundai Motors,€450k,K-League1
Jeong-ho Hong,Centre-Back,35,"Korea, South",Jeonbuk Hyundai Motors,€450k,K-League1
Sung-yueng Ki,Defensive Midfield,36,"Korea, South",Pohang Steelers,€450k,K-League1
Kwang-yeon Lee,Goalkeeper,25,"Korea, South",Gangwon FC,€450k,K-League1
Alexandru Mitrita,Left Winger,30,Romania,Zhejiang FC,€4.00m,CSL
Cryzan,Centre-Forward,29,Brazil,Shandong Taishan,€4.00m,CSL
Guga,Central Midfield,28,Portugal,Beijing Guoan,€3.50m,CSL
Leo,Centre-Forward,28,Brazil,Shanghai Port,€3.50m,CSL
Andrei Burca,Centre-Back,32,Romania,Yunnan Yukun,€2.50m,CSL
Romulo,Attacking Midfield,29,Brazil,Chengdu Rongcheng,€2.00m,CSL
Mateus Vital,Central Midfield,27,Brazil,Shanghai Port,€2.00m,CSL
Riccieli,Centre-Back,26,Brazil,Qingdao West Coast,€2.00m,CSL
Aziz Yakubu,Centre-Forward,26,Ghana,Qingdao West Coast,€2.00m,CSL
Luis Asue,Centre-Forward,24,Equatorial Guinea,Shanghai Shenhua,€2.00m,CSL
Albion Ademi,Left Winger,26,Albania,Tianjin Jinmen Tiger,€1.80m,CSL
Wesley Moraes,Centre-Forward,28,Brazil,Shenzhen Peng City,€1.80m,CSL
Saulo Mineiro,Centre-Forward,28,Brazil,Shanghai Shenhua,€1.80m,CSL
Fabio Abreu,Centre-Forward,32,Angola,Beijing Guoan,€1.70m,CSL
Serginho,Attacking Midfield,30,China,Beijing Guoan,€1.70m,CSL
Alberto Quiles,Centre-Forward,30,Spain,Tianjin Jinmen Tiger,€1.50m,CSL
Yudong Wang,Left Winger,18,China,Zhejiang FC,€1.50m,CSL
Bruno Nazario,Attacking Midfield,30,Brazil,Henan FC,€1.50m,CSL
Xadas,Attacking Midfield,27,Portugal,Tianjin Jinmen Tiger,€1.50m,CSL
Eden Karzev,Defensive Midfield,25,Israel,Shenzhen Peng City,€1.50m,CSL
Dawhan,Defensive Midfield,29,Brazil,Beijing Guoan,€1.40m,CSL
Pedro Henrique,Centre-Forward,28,Brazil,Yunnan Yukun,€1.30m,CSL
Yahav Gurfinkel,Left-Back,27,Israel,Chengdu Rongcheng,€1.20m,CSL
Uros Spajic,Centre-Back,32,Serbia,Beijing Guoan,€1.20m,CSL
Alexandru Tudorie,Centre-Forward,29,Romania,Wuhan Three Towns,€1.20m,CSL
Tim Chow,Defensive Midfield,31,Chinese Taipei,Chengdu Rongcheng,€1.20m,CSL
Valeri Qazaishvili,Left Winger,32,Georgia,Shandong Taishan,€1.20m,CSL
Iago Maidana,Centre-Back,29,Brazil,Henan FC,€1.20m,CSL
Zeca,Centre-Forward,28,Brazil,Shandong Taishan,€1.20m,CSL
Matheus Jussa,Defensive Midfield,29,Brazil,Shanghai Port,€1.20m,CSL
Andre Luis,Centre-Forward,31,Brazil,Shanghai Shenhua,€1.20m,CSL
Nene,Defensive Midfield,30,Portugal,Yunnan Yukun,€1.00m,CSL
Gustavo,Centre-Forward,31,Brazil,Shanghai Port,€1.00m,CSL
Wilson Manafa,Right-Back,31,Portugal,Shanghai Shenhua,€1.00m,CSL
Deabeas Owusu-Sekyere,Left Winger,25,Netherlands,Zhejiang FC,€900k,CSL
Cephas Malele,Centre-Forward,31,Switzerland,Dalian Yingbo,€900k,CSL
Gustavo Sauer,Right Winger,32,Brazil,Wuhan Three Towns,€900k,CSL
Joao Carlos Teixeira,Attacking Midfield,32,Portugal,Shanghai Shenhua,€900k,CSL
Chenjie Zhu,Centre-Back,24,China,Shanghai Shenhua,€900k,CSL
Shihao Wei,Left Winger,30,China,Chengdu Rongcheng,€850k,CSL
Oscar Taty Maritu,Centre-Forward,25,DR Congo,Yunnan Yukun,€850k,CSL
Shenglong Jiang,Centre-Back,24,China,Shanghai Shenhua,€850k,CSL
Hetao Hu,Left-Back,21,China,Chengdu Rongcheng,€800k,CSL
Lucas Possignolo,Centre-Back,31,Brazil,Zhejiang FC,€800k,CSL
Isnik Alimi,Central Midfield,31,North Macedonia,Dalian Yingbo,€800k,CSL
Alexandru Ionita,Attacking Midfield,30,Romania,Yunnan Yukun,€800k,CSL
Matheus Indio,Defensive Midfield,25,Brazil,Qingdao West Coast,€800k,CSL
Oscar Melendo,Attacking Midfield,27,Spain,Shanghai Port,€800k,CSL
Gabrielzinho,Left Winger,29,Brazil,Shanghai Port,€800k,CSL
Felippe Cardoso,Centre-Forward,26,Brazil,Henan FC,€750k,CSL
Daniel Penha,Attacking Midfield,26,Brazil,Dalian Yingbo,€750k,CSL
Mamadou Traore,Centre-Back,30,Mali,Dalian Yingbo,€750k,CSL
Cristian Salvador,Defensive Midfield,30,Spain,Tianjin Jinmen Tiger,€750k,CSL
Nelson da Luz,Left Winger,27,Angola,Qingdao West Coast,€750k,CSL
Darlan,Defensive Midfield,27,Brazil,Wuhan Three Towns,€750k,CSL
Shinichi Chan,Left-Back,22,Hongkong,Shanghai Shenhua,€750k,CSL
Yuning Zhang,Centre-Forward,28,China,Beijing Guoan,€700k,CSL
Liangming Lin,Left Winger,28,China,Beijing Guoan,€700k,CSL
Lei Wu,Right Winger,33,China,Shanghai Port,€700k,CSL
Ibrahim Amadou,Defensive Midfield,32,France,Shanghai Shenhua,€700k,CSL
Elias Mar Omarsson,Centre-Forward,30,Iceland,Meizhou Hakka,€700k,CSL
Tyias Browning,Centre-Back,31,China,Shanghai Port,€650k,CSL
Frank Acheampong,Left Winger,31,Ghana,Henan FC,€650k,CSL
Tianyi Gao,Defensive Midfield,27,China,Shanghai Shenhua,€650k,CSL
Timo Letschert,Centre-Back,32,Netherlands,Chengdu Rongcheng,€600k,CSL
Ji-su Park,Centre-Back,31,"Korea, South",Wuhan Three Towns,€600k,CSL
Lucas Maia,Centre-Back,32,Brazil,Henan FC,€600k,CSL
Wenneng Xie,Right Winger,24,China,Shandong Taishan,€600k,CSL
Guilherme Madruga,Defensive Midfield,24,Brazil,Shandong Taishan,€600k,CSL
Yago Cariello,Centre-Forward,25,Brazil,Zhejiang FC,€550k,CSL
Zakaria Labyad,Attacking Midfield,32,Morocco,Dalian Yingbo,€550k,CSL
Michael Ngadeu,Centre-Back,34,Cameroon,Beijing Guoan,€500k,CSL
Juan Camilo Salazar,Left Winger,28,Colombia,Changchun Yatai,€500k,CSL
Lluis Lopez,Centre-Back,28,Spain,Shandong Taishan,€500k,CSL
Juan Antonio Ros,Centre-Back,29,Spain,Tianjin Jinmen Tiger,€500k,CSL
Rade Dugalic,Centre-Back,32,Serbia,Shenzhen Peng City,€500k,CSL
Didier Lamkel Ze,Left Winger,28,Cameroon,Qingdao Hainiu,€500k,CSL
Nikola Radmanovac,Centre-Back,28,Serbia,Qingdao Hainiu,€500k,CSL
Davidson,Left Winger,34,Brazil,Qingdao West Coast,€500k,CSL
Ohi Omoijuanfo,Centre-Forward,31,Norway,Changchun Yatai,€450k,CSL
Felipe Silva,Centre-Forward,33,Brazil,Chengdu Rongcheng,€450k,CSL
Jerome Ngom Mbekeli,Left Winger,26,Cameroon,Meizhou Hakka,€450k,CSL
Yongjing Cao,Left Winger,28,China,Beijing Guoan,€450k,CSL
Filipe Augusto,Defensive Midfield,31,Brazil,Qingdao Hainiu,€450k,CSL
Zhengyu Huang,Defensive Midfield,28,China,Shandong Taishan,€450k,CSL
Zhen Wei,Centre-Back,28,China,Shanghai Port,€450k,CSL
Franko Andrijasevic,Attacking Midfield,34,Croatia,Zhejiang FC,€400k,CSL
Zhuoyi Lu,Right-Back,24,China,Dalian Yingbo,€400k,CSL
Ming-Yang Yang,Defensive Midfield,30,China,Chengdu Rongcheng,€400k,CSL
Zhen Ma,Goalkeeper,27,China,Yunnan Yukun,€400k,CSL
Wellington Silva,Right Winger,32,Brazil,Qingdao Hainiu,€400k,CSL
Manuel Palacios,Right Winger,32,Colombia,Wuhan Three Towns,€400k,CSL
Dun Ba,Right Winger,29,China,Tianjin Jinmen Tiger,€375k,CSL
Shuai Li,Left-Back,30,China,Shanghai Port,€375k,CSL
Weijie Mao,Attacking Midfield,20,China,Dalian Yingbo,€375k,CSL
Jin Cheng,Attacking Midfield,30,China,Zhejiang FC,€350k,CSL
Qianglong Tao,Centre-Forward,23,China,Zhejiang FC,€350k,CSL
Shiqin Wang,Left-Back,22,China,Zhejiang FC,€350k,CSL
Rodrigo Henrique,Left Winger,32,Brazil,Meizhou Hakka,€350k,CSL
Wang-Kit Tsui,Right-Back,28,Hongkong,Yunnan Yukun,€350k,CSL
